"",ID,Station,Shortcode,FullCode,Province,ProPinyin,Call
"",943,安庆,AQ,AnQing,安徽省,Anhui,6
"",945,安庆西,AQX,AnQingXi,安徽省,Anhui,1
"",2400,蚌埠,BB,BangBu,安徽省,Anhui,2
"",278,亳州,BZ,BoZhou,安徽省,Anhui,1
"",1083,巢湖,CH,ChaoHu,安徽省,Anhui,1
"",1699,池州,CZ,ChiZhou,安徽省,Anhui,2
"",1879,滁州,CZ,ChuZhou,安徽省,Anhui,1
"",2113,砀山,DS,DangShan,安徽省,Anhui,1
"",124,东至,DZ,DongZhi,安徽省,Anhui,0
"",2275,肥东,FD,FeiDong,安徽省,Anhui,1
"",425,凤阳,FY,FengYang,安徽省,Anhui,1
"",2698,阜南,FN,FuNan,安徽省,Anhui,1
"",2701,阜阳,FY,FuYang,安徽省,Anhui,6
"",1152,广德,GD,GuangDe,安徽省,Anhui,4
"",1820,涡阳,GY,GuoYang,安徽省,Anhui,1
"",718,固镇,GZ,GuZhen,安徽省,Anhui,1
"",610,合肥,HF,HeFei,安徽省,Anhui,8
"",611,合肥西,HFX,HeFeiXi,安徽省,Anhui,2
"",1826,淮北,HB,HuaiBei,安徽省,Anhui,2
"",1827,淮南,HN,HuaiNan,安徽省,Anhui,4
"",2889,黄口,HK,HuangKou,安徽省,Anhui,1
"",2892,黄山,HS,HuangShan,安徽省,Anhui,1
"",2609,金寨,JZ,JinZhai,安徽省,Anhui,0
"",2231,绩溪县,JXX,JiXiXian,安徽省,Anhui,1
"",364,六安,LA,LiuAn,安徽省,Anhui,2
"",1163,庐江,LJ,LuJiang,安徽省,Anhui,1
"",1916,炉桥,LQ,LuQiao,安徽省,Anhui,1
"",2819,马鞍山,MAS,MaAnShan,安徽省,Anhui,1
"",1400,明光,MG,MingGuang,安徽省,Anhui,1
"",921,宁国,NG,NingGuo,安徽省,Anhui,2
"",2136,祁门,QM,QiMen,安徽省,Anhui,1
"",2778,青龙山,QLS,QingLongShan,安徽省,Anhui,1
"",339,全椒,QJ,QuanJiao,安徽省,Anhui,0
"",35,三堂集,STJ,SanTangJi,安徽省,Anhui,1
"",1614,歙县,SX,SheXian,安徽省,Anhui,1
"",2287,舒城,SC,ShuCheng,安徽省,Anhui,2
"",1644,水家湖,SJH,ShuiJiaHu,安徽省,Anhui,1
"",991,宿松,SS,SuSong,安徽省,Anhui,1
"",990,宿州,SZ,SuZhou,安徽省,Anhui,1
"",865,太湖,TH,TaiHu,安徽省,Anhui,1
"",843,天柱山,TZS,TianZhuShan,安徽省,Anhui,1
"",1571,桐城,TC,TongCheng,安徽省,Anhui,1
"",2639,铜陵东,TLD,TongLingDong,安徽省,Anhui,0
"",2293,芜湖,WH,WuHu,安徽省,Anhui,1
"",984,宣城,XC,XuanCheng,安徽省,Anhui,1
"",607,叶集,YJ,YeJi,安徽省,Anhui,1
"",2796,颍上,YS,YingShang,安徽省,Anhui,1
"",937,安定,AD,AnDing,北京市,Beijing,3
"",348,八达岭,BDL,BaDaLing,北京市,Beijing,1
"",472,北京,BJ,BeiJing,北京市,Beijing,142
"",474,北京北,BJB,BeiJingBei,北京市,Beijing,1
"",473,北京东,BJD,BeiJingDong,北京市,Beijing,1
"",475,北京南,BJN,BeiJingNan,北京市,Beijing,14
"",476,北京西,BJX,BeiJingXi,北京市,Beijing,27
"",481,北宅,BZ,BeiZhai,北京市,Beijing,1
"",1322,斜河涧,XHJ,ChaHeJian,北京市,Beijing,1
"",1397,昌平,CP,ChangPing,北京市,Beijing,1
"",1398,昌平北,CPB,ChangPingBei,北京市,Beijing,1
"",812,大灰厂,DHC,DaHuiChang,北京市,Beijing,2
"",770,大兴,DX,DaXing,北京市,Beijing,4
"",146,丰台,FT,FengTai,北京市,Beijing,2
"",2827,高各庄,GGZ,GaoGeZhuang,北京市,Beijing,1
"",960,官高,GG,GuanGao,北京市,Beijing,1
"",916,孤山口,GSK,GuShanKou,北京市,Beijing,1
"",1257,怀柔,HR,HuaiRou,北京市,Beijing,1
"",1258,怀柔北,HRB,HuaiRouBei,北京市,Beijing,1
"",2895,黄村,HC,HuangCun,北京市,Beijing,1
"",1176,康庄,KZ,KangZhuang,北京市,Beijing,2
"",2368,落坡岭,LPL,LaPoLing,北京市,Beijing,1
"",2288,良各庄,LGZ,LiangGeZhuang,北京市,Beijing,1
"",1170,庙城,MC,MiaoCheng,北京市,Beijing,1
"",992,密云,MY,MiYun,北京市,Beijing,1
"",545,南观村,NGC,NanGuanCun,北京市,Beijing,1
"",520,南口,NK,NanKou,北京市,Beijing,1
"",1123,平峪,PY,PingYu,北京市,Beijing,1
"",1840,清河,QH,QingHe,北京市,Beijing,1
"",1836,清华园,QHY,QingHuaYuan,北京市,Beijing,2
"",33,三合庄,SHZ,SanHeZhuang,北京市,Beijing,1
"",38,三家店,SJD,SanJiaDian,北京市,Beijing,1
"",1740,沙河,SH,ShaHe,北京市,Beijing,1
"",62,上万,SW,ShangWan,北京市,Beijing,1
"",496,十渡,SD,ShiDu,北京市,Beijing,1
"",2093,石景山南,SJSN,ShiJingShanNan,北京市,Beijing,2
"",2794,顺义,SY,ShunYi,北京市,Beijing,1
"",2221,统军庄,TJZ,TongJunZhuang,北京市,Beijing,1
"",2538,通州西,TZX,TongZhouXi,北京市,Beijing,1
"",2850,魏善庄,WSZ,WeiShanZhuang,北京市,Beijing,1
"",2748,雁翅,YC,YanChi,北京市,Beijing,2
"",1769,沿河城,YHC,YanHeCheng,北京市,Beijing,1
"",1183,延庆,YQ,YanQing,北京市,Beijing,0
"",1931,燕山,YS,YanShan,北京市,Beijing,1
"",243,云居寺,YJS,YunJuSi,北京市,Beijing,1
"",1213,张辛,ZX,ZhangXin,北京市,Beijing,1
"",1979,珠窝,ZW,ZhuWo,北京市,Beijing,1
"",940,安富镇,AFZ,AnFuZhen,重庆市,Chongqing,2
"",1532,柏林,BL,BaiLin,重庆市,Chongqing,1
"",2054,白马,BM,BaiMa,重庆市,Chongqing,0
"",2032,白沙,BS,BaiSha,重庆市,Chongqing,1
"",2034,白沙沱,BST,BaiShaTuo,重庆市,Chongqing,0
"",2040,白涛,BT,BaiTao,重庆市,Chongqing,0
"",433,分水寺,FSS,BanShuiSi,重庆市,Chongqing,1
"",311,保家楼,BJL,BaoJiaLou,重庆市,Chongqing,0
"",488,北碚,BB,BeiBei,重庆市,Chongqing,1
"",2371,葡萄菁,PTJ,BeiTaoJing,重庆市,Chongqing,1
"",2684,长河碥,CHB,ChangHeBian,重庆市,Chongqing,1
"",2672,长寿,CS,ChangShou,重庆市,Chongqing,1
"",2687,长潭沟,CTG,ChangTanGou,重庆市,Chongqing,0
"",2595,重庆,ZQ,ChongQing,重庆市,Chongqing,2
"",2596,重庆北,ZQB,ChongQingBei,重庆市,Chongqing,4
"",2597,重庆南,ZQN,ChongQingNan,重庆市,Chongqing,1
"",2331,茨坝,CB,CiBa,重庆市,Chongqing,1
"",834,大足,DZ,DaZu,重庆市,Chongqing,1
"",99,东升坝,DSB,DongShengBa,重庆市,Chongqing,1
"",1074,峰高铺,FGP,FengGaoPu,重庆市,Chongqing,1
"",1822,涪陵,FL,FuLing,重庆市,Chongqing,1
"",1993,甘家坝,GJB,GanJiaBa,重庆市,Chongqing,0
"",2499,赶水,GS,GanShui,重庆市,Chongqing,1
"",1776,泔溪,GX,GanXi,重庆市,Chongqing,0
"",1108,干溪沟,GXG,GanXiGou,重庆市,Chongqing,0
"",2847,高谷,GG,GaoGu,重庆市,Chongqing,1
"",1157,广顺场,GSC,GuangShunChang,重庆市,Chongqing,1
"",593,古家沱,GJT,GuJiaTuo,重庆市,Chongqing,1
